tile_id,slide,scale,kind,n_boxes,label_sha,img_bytes,verified,source,note
10x/A2FD_1_10x_0013975_0041065,A2FD_1,10x,pos,1,f76c7262a83939bc,1341607,yes,allowlist_default,
10x/A2FD_1_10x_0015593_0052566,A2FD_1,10x,pos,1,b5d485a95661a730,1759097,yes,allowlist_default,
10x/A2FD_1_10x_0015628_0050087,A2FD_1,10x,pos,3,a8000b74a53bb24f,1883311,yes,allowlist_default,
10x/A2FD_1_10x_0017349_0049873,A2FD_1,10x,pos,2,914c9c7fb9220a9b,1647909,yes,allowlist_default,
10x/A2FD_1_10x_0018235_0072105,A2FD_1,10x,pos,1,f663ce16d2b6cab2,1420950,yes,allowlist_default,
10x/A2FD_1_10x_0018352_0044759,A2FD_1,10x,pos,1,e19da12f8b24bda3,1686456,yes,allowlist_default,
10x/A2FD_1_10x_0018352_0044759_dup1,A2FD_1,10x,pos,1,e19da12f8b24bda3,1686456,yes,allowlist_default,
10x/A2FD_1_10x_0021126_0040768,A2FD_1,10x,pos,1,d87c9f09dbac97cf,1819046,yes,allowlist_default,
10x/A2FD_1_10x_0021126_0040768_dup1,A2FD_1,10x,pos,1,d87c9f09dbac97cf,1819046,yes,allowlist_default,
10x/A2FD_1_10x_0027191_0067513,A2FD_1,10x,pos,1,bd1bbc0ae5d1e749,1546839,yes,allowlist_default,
10x/A2FD_1_10x_0030535_0034298,A2FD_1,10x,pos,2,d3ca559373b9a9f2,1610863,yes,allowlist_default,
10x/A2FD_1_10x_0030810_0054680,A2FD_1,10x,pos,2,d378de10fb4a3fe5,1208454,yes,allowlist_default,
10x/A2FD_1_10x_0032253_0032773,A2FD_1,10x,pos,5,33b5a1c50989c3ba,1726135,yes,allowlist_default,
10x/A2FD_1_10x_0035600_0059689,A2FD_1,10x,pos,2,d95f66186a39accd,1054181,yes,allowlist_default,
10x/A2FD_1_10x_0036075_0036465,A2FD_1,10x,pos,1,f90c36dcb97041a6,1425416,yes,allowlist_default,
10x/A2FD_1_10x_0037750_0067503,A2FD_1,10x,pos,1,497bee18624ef95c,1606678,yes,allowlist_default,
10x/A2FD_1_10x_0037750_0067503_dup1,A2FD_1,10x,pos,1,497bee18624ef95c,1606678,yes,allowlist_default,
10x/A2FD_1_10x_0038422_0023196,A2FD_1,10x,pos,1,7c38137f142faafc,1555256,yes,allowlist_default,
10x/A2FD_1_10x_0040908_0021878,A2FD_1,10x,pos,1,fb03d33fbc7d7968,1700291,yes,allowlist_default,
10x/A2FD_1_10x_0040908_0021878_dup1,A2FD_1,10x,pos,1,fb03d33fbc7d7968,1700291,yes,allowlist_default,
10x/A2FD_1_10x_0047159_0079059,A2FD_1,10x,pos,1,bf88206fca3757e3,1396278,yes,allowlist_default,
10x/A2FD_1_10x_0047246_0041500,A2FD_1,10x,pos,3,af960bf6c57cbd80,1612129,yes,allowlist_default,
10x/A2FD_1_10x_0047246_0041500_dup1,A2FD_1,10x,pos,3,af960bf6c57cbd80,1612129,yes,allowlist_default,
10x/A2FD_1_10x_0049353_0076051,A2FD_1,10x,pos,1,19f04a8a719a4d59,1313663,yes,allowlist_default,
10x/A2FD_1_10x_0051508_0043531,A2FD_1,10x,pos,2,9ed426e2c12582b4,1822638,yes,allowlist_default,
10x/A2FD_1_10x_0052387_0044350,A2FD_1,10x,pos,2,c466a17719daae9d,1576153,yes,allowlist_default,
