epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,157.258,1.82039,3.28043,1.6986,0.84291,0.63003,0.74634,0.46969,0.87952,22.8635,0.9075,0.00997347,0.00332449,0.00997347,0.00332449,0.00997347,0.00332449,0.00997347,0.00332449
2,285.011,1.81897,1.8299,1.67886,0.85438,0.69969,0.81835,0.5141,0.95765,25.5669,0.95701,0.0199076,0.00663585,0.0199076,0.00663585,0.0199076,0.00663585,0.0199076,0.00663585
3,407.937,1.89149,1.77866,1.76492,0.66807,0.60133,0.6112,0.31308,1.1954,6.96018,1.15664,0.0297756,0.00992522,0.0297756,0.00992522,0.0297756,0.00992522,0.0297756,0.00992522
4,529.173,1.8881,1.7125,1.7845,0.45258,0.54519,0.44876,0.22272,1.24304,11.8198,1.22231,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,650.679,1.84538,1.63777,1.75254,0.79558,0.72601,0.8276,0.51445,0.96431,21.1715,1.0316,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,772.179,1.79837,1.57188,1.74049,0.77912,0.70984,0.79103,0.5091,0.95517,11.2365,1.0087,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,893.703,1.76802,1.49789,1.73136,0.74329,0.63932,0.7423,0.47534,0.9216,3.27527,1.01482,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1015.28,1.75179,1.45431,1.71202,0.34115,0.5805,0.39776,0.13507,1.53209,15.9371,1.53464,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1136.61,1.72214,1.42076,1.68245,0.8836,0.78735,0.86782,0.58814,0.8485,3.66203,0.94842,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1257.87,1.69974,1.38033,1.67672,0.85696,0.83469,0.89078,0.61258,0.81668,12.6222,0.91998,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1379.42,1.66366,1.35125,1.65872,0.66308,0.60526,0.67474,0.38519,1.12962,2.02129,1.17094,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
