epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,146.472,1.77548,3.26437,1.66441,0.79245,0.71981,0.80984,0.54029,0.91134,38.6421,0.91622,0.00997093,0.00332364,0.00997093,0.00332364,0.00997093,0.00332364,0.00997093,0.00332364
2,266.489,1.76764,1.74727,1.61162,0.70655,0.59133,0.66555,0.33755,1.18876,15.1694,1.18719,0.019905,0.00663501,0.019905,0.00663501,0.019905,0.00663501,0.019905,0.00663501
3,379.443,1.83565,1.70283,1.70358,0.79766,0.71207,0.81394,0.51297,0.93637,13.2757,1.00927,0.0297731,0.00992437,0.0297731,0.00992437,0.0297731,0.00992437,0.0297731,0.00992437
4,491.166,1.85503,1.65796,1.74724,0.55614,0.65789,0.62877,0.3777,1.00436,34.6141,1.05392,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,602.985,1.81939,1.56712,1.73142,0.4686,0.53374,0.4566,0.25458,1.22405,9.25265,1.25326,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,715.214,1.76847,1.4981,1.71359,0.81113,0.81115,0.86153,0.54487,0.93001,3.25225,0.99913,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,827.335,1.73459,1.438,1.67525,0.66816,0.62074,0.70294,0.43914,0.92432,8.49698,1.01375,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,939.049,1.69339,1.37742,1.64409,0.65445,0.5356,0.60869,0.36417,1.06522,2.26224,1.0936,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1051.07,1.67751,1.34797,1.63378,0.38361,0.29876,0.24007,0.13057,1.37176,10.012,1.46771,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1163.12,1.65545,1.31492,1.61146,0.83099,0.6904,0.78743,0.50918,0.94687,3.53889,1.03476,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1275.24,1.63087,1.28538,1.61014,0.76058,0.68731,0.76697,0.52161,0.83841,4.21544,0.98293,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1387.31,1.63596,1.26931,1.62567,0.64862,0.5715,0.59845,0.39319,0.94756,24.9329,1.05001,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1498.84,1.60115,1.24337,1.5923,0.72326,0.71981,0.76441,0.4814,0.96721,3.02399,1.03791,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1610.76,1.58809,1.19566,1.57939,0.84722,0.7291,0.83522,0.56679,0.87394,3.21842,0.98025,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1722.61,1.56851,1.19194,1.555,0.45958,0.58359,0.54872,0.29744,1.1758,5.27387,1.15327,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1834.6,1.55626,1.1522,1.54933,0.3125,0.47059,0.2771,0.11257,1.41767,4.44267,1.42004,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1946.55,1.54764,1.14222,1.55609,0.82442,0.74139,0.8448,0.55905,0.8871,2.68352,0.99758,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2058.52,1.52458,1.1121,1.53273,0.85837,0.60526,0.76576,0.50104,0.90463,2.51136,1.01875,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2170.22,1.50037,1.08801,1.51626,0.4172,0.51238,0.44562,0.23427,1.24893,3.09777,1.22426,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2282.19,1.49272,1.07055,1.51829,0.89666,0.76935,0.87841,0.5989,0.84565,0.88793,0.95476,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2394.05,1.47956,1.0493,1.50536,0.56878,0.60062,0.62359,0.38374,1.03749,3.02261,1.08528,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2505.97,1.44119,1.00519,1.46854,0.83463,0.71879,0.83851,0.55516,0.87893,1.31351,0.97212,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2617.56,1.44253,1.01044,1.46816,0.90279,0.71362,0.84916,0.55616,0.92471,1.69021,0.99977,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2729.19,1.42599,1.01087,1.46397,0.90577,0.76471,0.88152,0.56928,0.91638,1.38315,0.99999,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2840.93,1.4014,0.96843,1.43827,0.56469,0.61446,0.63712,0.36176,1.17188,1.81844,1.19465,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2952.67,1.39221,0.96596,1.42763,0.83385,0.68266,0.81965,0.50042,1.01367,5.32536,1.05199,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,3064.77,1.37322,0.94054,1.41583,0.22403,0.30341,0.1541,0.04753,1.64005,4.96714,1.53391,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,3177.08,1.342,0.91736,1.39495,0.66392,0.54334,0.67308,0.40883,1.06956,1.37795,1.09522,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,3288.74,1.33951,0.90152,1.38937,0.86629,0.73215,0.85475,0.53989,0.96825,1.1584,1.02124,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,3400.61,1.34373,0.92194,1.39535,0.8424,0.7364,0.854,0.52086,0.99411,2.30191,1.03393,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,3512.58,1.31575,0.89139,1.37024,0.58199,0.63313,0.66127,0.37624,1.09273,1.86034,1.11799,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,3624.14,1.30789,0.89193,1.3621,0.72156,0.67028,0.76963,0.46618,1.03388,1.71128,1.06416,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3736.13,1.29285,0.87156,1.35155,0.56585,0.49431,0.56407,0.31575,1.25637,3.18061,1.24029,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3847.72,1.2787,0.85977,1.34638,0.34835,0.43775,0.34569,0.17432,1.48362,5.17817,1.48277,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3959.26,1.25819,0.84872,1.33083,0.877,0.69532,0.84911,0.54913,0.91966,1.42023,1.00543,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4070.68,1.25287,0.83676,1.32714,0.72933,0.72446,0.78839,0.45979,1.11312,2.75385,1.10859,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4182.12,1.22219,0.814,1.30725,0.49514,0.56037,0.54864,0.30504,1.22062,1.67798,1.23715,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
