epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3995,2.09915,10.2107,2.49645,0.31497,0.14087,0.09999,0.01815,1.56494,153.047,2.05988,0.000658009,0.000658009,0.000658009
2,73.3153,1.83387,5.84732,2.26765,0.00635,0.02167,0.00064,0.00012,2.6337,66.698,4.46531,0.0013203,0.0013203,0.0013203
3,100.181,1.83955,3.92621,2.3528,0.01092,0.04644,0.00483,0.00085,2.20728,228.553,3.44901,0.0019782,0.0019782,0.0019782
4,126.824,1.83522,2.66242,2.27491,0.02512,0.08514,0.01042,0.00184,2.33947,63.1398,3.21458,0.0019802,0.0019802,0.0019802
5,153.729,1.73304,2.2129,2.1647,0.07878,0.12229,0.03576,0.00729,2.23261,62.107,2.80398,0.0019736,0.0019736,0.0019736
6,180.409,1.75254,1.93555,2.18629,0.08589,0.10526,0.0243,0.00391,2.43306,9.42572,2.98129,0.001967,0.001967,0.001967
7,207.018,1.67311,1.77584,2.12148,0.26221,0.33746,0.17517,0.03182,2.21247,6.21468,2.87079,0.0019604,0.0019604,0.0019604
8,233.871,1.64855,1.67647,2.05591,0.14819,0.26935,0.08885,0.01447,2.47575,12.6849,3.05568,0.0019538,0.0019538,0.0019538
9,260.746,1.65672,1.64229,2.03711,0.16801,0.27245,0.08889,0.01565,2.57132,8.434,3.01828,0.0019472,0.0019472,0.0019472
10,287.614,1.63868,1.58735,2.06775,0.09165,0.18576,0.04546,0.00695,2.60943,5.58195,3.36957,0.0019406,0.0019406,0.0019406
11,314.412,1.58611,1.50667,2.03056,0.26808,0.3452,0.19394,0.03625,2.3825,3.14126,3.17284,0.001934,0.001934,0.001934
12,341.08,1.61468,1.56586,2.04705,0.24086,0.33348,0.15742,0.02922,2.38112,3.74257,2.96563,0.0019274,0.0019274,0.0019274
13,367.726,1.52285,1.4843,1.96779,0.22021,0.3096,0.14919,0.02611,2.33453,3.25728,2.97638,0.0019208,0.0019208,0.0019208
14,394.47,1.5283,1.47205,1.99765,0.09509,0.24458,0.05948,0.01043,2.55598,2.92448,3.08049,0.0019142,0.0019142,0.0019142
15,421.336,1.51201,1.45613,1.95423,0.14056,0.12539,0.04104,0.00608,2.55835,7.25695,3.0315,0.0019076,0.0019076,0.0019076
16,448.048,1.5166,1.42941,1.9429,0.19936,0.29412,0.11972,0.02182,2.40813,5.31821,2.97685,0.001901,0.001901,0.001901
17,474.976,1.49314,1.37599,1.91442,0.08313,0.15015,0.0306,0.00537,2.85479,3.62419,4.06594,0.0018944,0.0018944,0.0018944
18,501.865,1.48851,1.39635,1.90103,0.06309,0.1161,0.02101,0.0034,2.81707,2.72552,3.90177,0.0018878,0.0018878,0.0018878
19,528.628,1.4542,1.3782,1.89318,0.1353,0.27554,0.07886,0.01228,2.69542,2.58125,3.80064,0.0018812,0.0018812,0.0018812
20,555.347,1.43177,1.31648,1.85099,0.16178,0.26625,0.09906,0.01729,2.58423,2.28378,3.10686,0.0018746,0.0018746,0.0018746
21,582.205,1.43103,1.30695,1.85536,0.23303,0.22291,0.10608,0.01533,2.6423,2.3717,3.42429,0.001868,0.001868,0.001868
22,608.819,1.47862,1.34309,1.92592,0.14647,0.16563,0.06058,0.00886,2.76388,2.85149,3.64746,0.0018614,0.0018614,0.0018614
23,635.677,1.41668,1.31478,1.8816,0.18239,0.1192,0.05446,0.00883,2.75685,2.08808,3.47296,0.0018548,0.0018548,0.0018548
24,662.479,1.48716,1.32009,1.9278,0.12891,0.14241,0.04066,0.00626,2.8514,4.2159,3.99902,0.0018482,0.0018482,0.0018482
25,689.163,1.45032,1.25328,1.87579,0.13756,0.16563,0.04635,0.0069,2.79173,8.70508,3.52311,0.0018416,0.0018416,0.0018416
26,715.715,1.41326,1.26339,1.86539,0.06276,0.13158,0.02248,0.00326,2.88127,2.36628,3.99746,0.001835,0.001835,0.001835
27,742.374,1.41391,1.26398,1.85904,0.04467,0.0743,0.01327,0.00201,2.9383,2.8457,4.32734,0.0018284,0.0018284,0.0018284
28,769.15,1.37482,1.23734,1.84012,0.15133,0.13158,0.06021,0.00952,2.79929,1.9686,3.77592,0.0018218,0.0018218,0.0018218
29,795.943,1.39252,1.20665,1.83726,0.10085,0.12229,0.03184,0.00526,2.89461,2.21611,4.47934,0.0018152,0.0018152,0.0018152
30,822.774,1.35304,1.23959,1.84105,0.10439,0.12848,0.03901,0.00589,2.87682,2.1166,4.1029,0.0018086,0.0018086,0.0018086
31,849.456,1.39921,1.21048,1.85049,0.13772,0.17183,0.05084,0.00806,2.81903,1.82061,4.43015,0.001802,0.001802,0.001802
32,876.166,1.35905,1.15265,1.79001,0.0628,0.13003,0.02458,0.00365,3.0158,2.07874,4.47012,0.0017954,0.0017954,0.0017954
33,902.946,1.38057,1.21624,1.82177,0.11596,0.12693,0.03584,0.00529,2.85368,1.91116,3.9291,0.0017888,0.0017888,0.0017888
34,929.684,1.3518,1.18218,1.80378,0.10105,0.10526,0.02846,0.00454,2.9225,7.0221,4.1826,0.0017822,0.0017822,0.0017822
35,956.158,1.36414,1.18327,1.79911,0.03947,0.1904,0.01072,0.00166,2.85078,2.77829,3.83456,0.0017756,0.0017756,0.0017756
36,982.701,1.3654,1.17297,1.81732,0.15929,0.13962,0.04434,0.0073,2.76123,2.75647,3.72012,0.001769,0.001769,0.001769
37,1009.25,1.34813,1.11754,1.80435,0.13956,0.14861,0.04234,0.00652,2.87997,1.71459,4.15002,0.0017624,0.0017624,0.0017624
38,1036.08,1.3013,1.12704,1.75512,0.09908,0.14861,0.04122,0.00642,2.88699,1.83527,4.10861,0.0017558,0.0017558,0.0017558
39,1062.87,1.29444,1.10019,1.765,0.09759,0.13467,0.03166,0.00469,2.98494,2.1685,4.94835,0.0017492,0.0017492,0.0017492
40,1089.43,1.33668,1.15189,1.80916,0.12112,0.08824,0.03336,0.00536,2.70142,6.85782,3.64871,0.0017426,0.0017426,0.0017426
41,1116.02,1.3207,1.1549,1.78103,0.10216,0.113,0.03351,0.00546,2.85204,2.35871,4.29674,0.001736,0.001736,0.001736
42,1142.56,1.29573,1.15815,1.75946,0.1113,0.12384,0.03103,0.00483,2.8768,5.8359,4.36083,0.0017294,0.0017294,0.0017294
43,1169.26,1.30654,1.11051,1.75474,0.1168,0.08824,0.02925,0.00544,2.7294,3.15709,2.96983,0.0017228,0.0017228,0.0017228
44,1195.93,1.32567,1.11286,1.78409,0.10289,0.10526,0.02701,0.00396,2.98466,1.99068,4.55373,0.0017162,0.0017162,0.0017162
45,1222.54,1.32088,1.13223,1.78631,0.14741,0.1192,0.04353,0.00714,2.8378,1.93898,4.36207,0.0017096,0.0017096,0.0017096
46,1249.25,1.29763,1.12655,1.75368,0.10466,0.08359,0.02048,0.00345,2.92182,2.35184,3.99349,0.001703,0.001703,0.001703
47,1275.98,1.27869,1.07497,1.7562,0.09354,0.13313,0.03123,0.00512,2.79117,2.41788,3.94832,0.0016964,0.0016964,0.0016964
48,1302.81,1.29713,1.09204,1.76278,0.13355,0.14706,0.04405,0.00654,2.87105,2.17825,4.36812,0.0016898,0.0016898,0.0016898
49,1329.54,1.30126,1.09352,1.76283,0.04853,0.13777,0.0113,0.00185,3.07295,2.03217,4.81022,0.0016832,0.0016832,0.0016832
50,1356.1,1.27689,1.09446,1.72957,0.12689,0.11765,0.02757,0.00413,2.99952,1.69336,4.60505,0.0016766,0.0016766,0.0016766
51,1382.64,1.25615,1.03022,1.68886,0.08012,0.11146,0.02419,0.00353,2.99806,1.83192,4.88404,0.00167,0.00167,0.00167
52,1409.19,1.27997,1.05238,1.72464,0.11935,0.09133,0.0214,0.00312,3.01421,1.88785,4.36972,0.0016634,0.0016634,0.0016634
53,1435.84,1.25337,1.03931,1.71737,0.10639,0.08204,0.02127,0.00323,2.92223,2.22794,4.22097,0.0016568,0.0016568,0.0016568
54,1462.55,1.235,1.01562,1.70273,0.1196,0.10681,0.03426,0.00535,2.8892,2.13091,4.13717,0.0016502,0.0016502,0.0016502
55,1492.03,1.23512,1.02976,1.69618,0.10765,0.11455,0.02365,0.00371,3.03873,3.11711,5.1166,0.0016436,0.0016436,0.0016436
56,1518.75,1.24624,1.01129,1.71294,0.1197,0.09752,0.02989,0.00473,2.9698,2.01368,4.10977,0.001637,0.001637,0.001637
57,1545.55,1.21814,0.96114,1.6942,0.16762,0.15944,0.04958,0.00768,2.87413,1.93823,4.36785,0.0016304,0.0016304,0.0016304
58,1572.29,1.2349,0.97207,1.70036,0.12156,0.113,0.02365,0.00389,2.9854,5.07374,4.76046,0.0016238,0.0016238,0.0016238
59,1598.78,1.2422,1.01498,1.70674,0.0722,0.0805,0.02022,0.00263,3.0215,2.38328,4.34133,0.0016172,0.0016172,0.0016172
60,1625.39,1.20609,0.94634,1.67692,0.12053,0.08514,0.03912,0.00722,2.69986,2.90021,3.27732,0.0016106,0.0016106,0.0016106
61,1652.12,1.23475,0.98359,1.69212,0.05626,0.08978,0.01548,0.00219,3.10437,2.33265,5.32773,0.001604,0.001604,0.001604
62,1678.76,1.21643,1.01556,1.697,0.08447,0.06347,0.01179,0.0018,3.12834,2.02336,5.3305,0.0015974,0.0015974,0.0015974
63,1705.27,1.21115,0.97697,1.66411,0.07392,0.10526,0.01854,0.00256,3.12065,2.13013,5.3766,0.0015908,0.0015908,0.0015908
64,1731.95,1.21863,0.99054,1.68393,0.07276,0.0743,0.01043,0.00169,3.20402,2.04243,5.57487,0.0015842,0.0015842,0.0015842
65,1758.47,1.24848,0.96747,1.73862,0.05796,0.0356,0.00473,0.00075,3.18178,2.52657,5.07887,0.0015776,0.0015776,0.0015776
66,1785.14,1.24115,0.98048,1.71758,0.08137,0.06966,0.01115,0.00165,3.08308,1.94584,4.87662,0.001571,0.001571,0.001571
67,1811.64,1.17592,0.93386,1.6444,0.20271,0.19814,0.06074,0.00862,2.90651,2.2393,4.64069,0.0015644,0.0015644,0.0015644
68,1838.14,1.20637,0.98117,1.65786,0.07959,0.08978,0.01581,0.00243,3.17113,1.83567,5.89005,0.0015578,0.0015578,0.0015578
69,1864.93,1.17314,0.91936,1.64247,0.10209,0.08669,0.01756,0.00268,3.08831,2.00536,5.20337,0.0015512,0.0015512,0.0015512
70,1891.62,1.19357,0.95502,1.7005,0.02453,0.15325,0.00489,0.00076,3.27811,2.40448,5.88085,0.0015446,0.0015446,0.0015446
71,1918.36,1.20426,0.93257,1.69063,0.06833,0.0805,0.01208,0.00193,3.12514,1.91693,5.75743,0.001538,0.001538,0.001538
