epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,150.121,1.77609,3.24555,1.64426,0.65035,0.70279,0.66457,0.39501,0.97004,31.682,0.96595,0.00997015,0.00332338,0.00997015,0.00332338,0.00997015,0.00332338,0.00997015,0.00332338
2,269.686,1.76103,1.77602,1.60761,0.70908,0.75839,0.76248,0.50861,0.89731,20.3132,0.95865,0.0199042,0.00663475,0.0199042,0.00663475,0.0199042,0.00663475,0.0199042,0.00663475
3,385.283,1.83176,1.65591,1.68226,0.81731,0.7322,0.79537,0.47055,1.11944,19.4562,1.12326,0.0297723,0.00992412,0.0297723,0.00992412,0.0297723,0.00992412,0.0297723,0.00992412
4,497.54,1.85193,1.64647,1.69944,0.8376,0.71827,0.85076,0.54598,0.88034,3.7186,0.94092,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,607.196,1.8062,1.5463,1.68654,0.7267,0.70588,0.75641,0.49196,0.88452,10.4534,0.95782,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,720.07,1.76495,1.47026,1.65191,0.75339,0.75697,0.77662,0.47277,0.99399,11.5763,1.01161,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,832.99,1.72938,1.43878,1.64599,0.76699,0.51084,0.65095,0.41597,0.93847,6.79195,1.04622,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,946.405,1.71409,1.40519,1.64131,0.85658,0.67028,0.7917,0.52125,0.92941,2.7012,1.018,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1059.1,1.68202,1.35238,1.61986,0.76382,0.68587,0.77187,0.50205,0.90292,5.44542,0.99902,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1171.84,1.65266,1.29917,1.60471,0.66584,0.5774,0.64959,0.40219,0.97907,8.35422,1.06152,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1285.18,1.63585,1.27411,1.60827,0.6641,0.49381,0.53591,0.33005,1.18099,5.7914,1.25725,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1397.45,1.62643,1.2434,1.59396,0.84481,0.70279,0.83105,0.56062,0.90915,4.14661,0.97248,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1510.22,1.61126,1.23639,1.59119,0.80687,0.60526,0.74044,0.49139,0.92589,5.2513,1.04572,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1624.43,1.58895,1.20369,1.5736,0.89023,0.66409,0.81244,0.5089,0.99587,1.33821,1.05011,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1737.77,1.56359,1.17199,1.54918,0.88421,0.70926,0.82282,0.56829,0.82316,3.4683,0.94047,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1851.05,1.55716,1.15222,1.5505,0.85333,0.79253,0.89113,0.61525,0.82077,1.59538,0.9367,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1963.79,1.54633,1.15125,1.52334,0.83422,0.76471,0.85104,0.58205,0.84407,2.76646,0.9536,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2077.55,1.52811,1.10729,1.51275,0.88386,0.73065,0.85968,0.57643,0.89876,1.2172,0.99329,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2190.95,1.50603,1.08896,1.49954,0.8114,0.74613,0.83868,0.56518,0.88433,5.63489,0.96583,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2303.73,1.50154,1.07796,1.49225,0.83786,0.71672,0.82491,0.54427,0.91992,2.59011,1.00493,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2417.07,1.48441,1.0613,1.47925,0.87557,0.74923,0.88286,0.59917,0.84777,2.51282,0.93932,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2530.42,1.45972,1.02708,1.46251,0.8868,0.73994,0.83555,0.57439,0.82843,3.23993,0.94594,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2643.58,1.43239,1.00048,1.44281,0.84758,0.74613,0.86974,0.57879,0.86752,3.97918,0.95796,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2756.44,1.42352,0.99662,1.44199,0.86438,0.73065,0.85989,0.56323,0.89789,2.15662,0.97954,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2869.59,1.40582,0.97633,1.41909,0.84501,0.78947,0.89164,0.60541,0.83525,1.7309,0.94482,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2982.2,1.37769,0.94776,1.39355,0.77439,0.58514,0.73074,0.475,0.95178,1.92526,1.0267,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
