epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,134.498,1.74277,4.97778,1.68284,0.46253,0.3357,0.32765,0.17871,1.16723,20.7416,1.22323,0.00996845,0.00332282,0.00996845,0.00332282,0.00996845,0.00332282,0.00996845,0.00332282
2,258.607,1.86201,2.16281,1.73698,0.7033,0.54674,0.63491,0.37294,1.15441,7.51879,1.13311,0.0199026,0.00663419,0.0199026,0.00663419,0.0199026,0.00663419,0.0199026,0.00663419
3,361.085,2.01174,2.09464,1.87287,0.42112,0.33901,0.32607,0.15559,1.42551,27.5054,1.42732,0.0297707,0.00992355,0.0297707,0.00992355,0.0297707,0.00992355,0.0297707,0.00992355
4,462.297,2.0741,2.10735,1.94562,0.72414,0.53715,0.63167,0.3691,1.14134,3.72294,1.09824,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,563.561,2.00144,2.03745,1.91512,0.73321,0.59288,0.67635,0.42767,0.97693,10.3717,1.03796,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,664.769,1.93504,1.93208,1.84836,0.74016,0.60372,0.6993,0.45974,0.97852,7.1997,1.00988,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,765.827,1.88011,1.85784,1.82,0.76746,0.5722,0.68141,0.38018,1.13635,13.0519,1.10999,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,867.214,1.86263,1.79041,1.80588,0.3745,0.32817,0.26915,0.12932,1.30557,34.0123,1.25584,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,968.488,1.83142,1.77473,1.77784,0.82108,0.78173,0.85285,0.554,0.91252,3.87284,0.98853,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1069.81,1.81114,1.73148,1.75924,0.68128,0.53934,0.58876,0.39288,0.90215,23.1413,0.97499,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1171.09,1.7879,1.67627,1.76134,0.88483,0.73529,0.83661,0.55324,0.88811,1.28653,0.97873,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1272.25,1.7458,1.64128,1.70702,0.71264,0.56966,0.66275,0.40854,1.02933,9.96167,1.0857,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1373.41,1.76556,1.62981,1.7163,0.83637,0.68731,0.78528,0.51337,0.92519,3.97295,0.98736,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1474.51,1.72319,1.5936,1.69973,0.82503,0.66563,0.78412,0.52521,0.89568,1.50077,0.94797,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1575.67,1.72049,1.60593,1.70819,0.77383,0.64241,0.74382,0.47654,0.95426,5.4566,1.02735,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1676.97,1.71231,1.5814,1.67655,0.85243,0.71207,0.80605,0.52525,0.88672,5.22587,0.95941,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1778.42,1.6965,1.56752,1.66982,0.76874,0.74149,0.79949,0.53495,0.89713,4.4615,0.98525,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1879.74,1.69984,1.55604,1.67561,0.86039,0.63003,0.73996,0.4971,0.917,2.25632,0.97046,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1981.28,1.67134,1.50255,1.66254,0.81521,0.75801,0.83195,0.55782,0.8718,3.58545,0.95714,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2082.57,1.65009,1.52873,1.65053,0.83244,0.76136,0.83764,0.57031,0.8456,2.26385,0.93384,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2183.75,1.67324,1.51367,1.66897,0.83946,0.72039,0.81835,0.53503,0.91274,7.38456,1.00995,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2284.76,1.65631,1.50176,1.65265,0.85348,0.73065,0.84366,0.5622,0.86666,3.4902,0.93837,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2385.92,1.65254,1.48915,1.64202,0.86755,0.65944,0.77407,0.52804,0.86443,1.55942,0.97249,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2487.09,1.62917,1.44649,1.63785,0.84196,0.6192,0.71344,0.49508,0.85909,2.13024,0.97418,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2588.5,1.63407,1.44716,1.6448,0.78667,0.70783,0.79432,0.49731,0.96041,6.18034,1.00991,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2689.71,1.6143,1.4439,1.62617,0.83282,0.59598,0.69887,0.49103,0.84979,2.84971,0.94929,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2790.91,1.60427,1.42945,1.61144,0.80049,0.6161,0.71351,0.46796,0.93896,7.10042,0.99706,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2892.14,1.60596,1.4253,1.6264,0.80746,0.72755,0.79715,0.54414,0.85696,4.37599,0.94215,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2993.45,1.60719,1.40861,1.61964,0.84613,0.74458,0.84322,0.5751,0.85043,2.23934,0.9589,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,3094.7,1.58399,1.40549,1.60474,0.88607,0.75077,0.84342,0.59452,0.81479,1.22048,0.95175,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,3195.85,1.59538,1.40464,1.6105,0.84854,0.74458,0.85532,0.5963,0.81823,2.58888,0.94421,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,3297.17,1.56425,1.37924,1.58406,0.83785,0.72786,0.83305,0.58866,0.81194,1.84816,0.92332,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3398.43,1.58555,1.38262,1.59354,0.88509,0.70349,0.77871,0.53368,0.85275,1.53831,0.94813,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3499.52,1.58501,1.36763,1.59098,0.86563,0.75789,0.84992,0.57277,0.87532,3.04842,0.97014,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3600.97,1.57021,1.37427,1.58098,0.84985,0.70971,0.80286,0.54964,0.87031,4.14615,0.93451,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3702.37,1.58241,1.363,1.57809,0.85994,0.77864,0.8705,0.59857,0.83224,3.74913,0.92513,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3803.98,1.57895,1.37387,1.58555,0.80074,0.63451,0.7259,0.50342,0.85156,4.48335,0.93904,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3905.11,1.55335,1.32465,1.57347,0.86852,0.66099,0.78322,0.55779,0.8038,1.7091,0.9351,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4006.16,1.55802,1.33437,1.58419,0.87429,0.67824,0.77681,0.53748,0.87309,1.49848,0.9642,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4107.48,1.54423,1.33103,1.55524,0.8287,0.6515,0.7602,0.53047,0.84963,1.70982,0.93569,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4208.88,1.55274,1.34119,1.56957,0.82775,0.64861,0.75349,0.53445,0.8051,2.19235,0.93791,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4310.13,1.53944,1.32472,1.56012,0.86318,0.72136,0.83405,0.54525,0.91659,1.70951,0.96666,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4411.31,1.52747,1.30928,1.56158,0.81354,0.60836,0.7214,0.50079,0.84229,1.71936,0.93751,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4512.45,1.53439,1.32522,1.5617,0.83809,0.71207,0.81164,0.54786,0.87854,2.52629,0.9495,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
