epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,136.168,1.74352,3.13602,1.59455,0.87752,0.75415,0.85827,0.56421,0.89331,23.5361,0.89785,0.00996979,0.00332326,0.00996979,0.00332326,0.00996979,0.00332326,0.00996979,0.00332326
2,248.957,1.72674,1.66854,1.52603,0.68384,0.72136,0.65524,0.38334,1.0693,24.5907,1.01527,0.0199039,0.00663463,0.0199039,0.00663463,0.0199039,0.00663463,0.0199039,0.00663463
3,357.621,1.79705,1.60407,1.59859,0.74953,0.54334,0.61383,0.35652,1.20368,15.0048,1.2052,0.029772,0.009924,0.029772,0.009924,0.029772,0.009924,0.029772,0.009924
4,464.938,1.82421,1.59475,1.67672,0.59398,0.53219,0.59078,0.34646,1.23239,5.89562,1.20482,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,571.976,1.77476,1.47371,1.64213,0.53596,0.18266,0.20912,0.12217,1.40325,6.56547,1.3804,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,678.898,1.74578,1.41651,1.63909,0.80224,0.69195,0.775,0.53173,0.88584,3.59257,0.97323,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,786.118,1.70968,1.34124,1.61881,0.84576,0.74149,0.86518,0.58557,0.85964,1.54425,0.94507,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,893.246,1.6871,1.31548,1.60342,0.85729,0.78638,0.86795,0.57121,0.88389,1.09179,1.00012,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1000.46,1.66965,1.29149,1.59847,0.74097,0.66873,0.73816,0.45281,0.96786,16.512,1.00428,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1107.66,1.6415,1.22759,1.56963,0.79542,0.70743,0.79329,0.50797,0.94273,4.70146,1.02311,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1214.61,1.63727,1.21287,1.56612,0.86129,0.79257,0.85853,0.59848,0.8412,0.86297,0.96022,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1321.84,1.60686,1.18007,1.53892,0.84734,0.73839,0.82549,0.58038,0.80979,1.48247,0.93199,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1429.26,1.59307,1.13831,1.5213,0.87735,0.75298,0.85097,0.56442,0.89073,1.06711,0.96697,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1536.37,1.56879,1.127,1.52694,0.83859,0.77208,0.85135,0.57471,0.86317,1.71791,0.95875,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1643.52,1.54879,1.09668,1.50794,0.77328,0.66409,0.75931,0.51813,0.85353,2.48102,0.97583,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1750.59,1.54468,1.08236,1.50175,0.82999,0.75572,0.84864,0.57043,0.86906,1.2991,0.97248,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1857.47,1.51701,1.05386,1.49023,0.83863,0.77709,0.8483,0.58045,0.88546,0.86996,0.95788,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1964.5,1.49232,1.0239,1.46457,0.86897,0.71517,0.8307,0.57537,0.84803,1.225,0.94704,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2071.55,1.48343,1.02576,1.46281,0.87252,0.7709,0.86416,0.60199,0.82361,1.20782,0.93508,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2178.48,1.46883,1.00049,1.4417,0.85882,0.67337,0.77986,0.52508,0.88997,1.47174,0.98129,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
