epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,128.986,1.7415,3.08178,1.59262,0.85326,0.77864,0.8757,0.57401,0.8813,22.6366,0.91883,0.00996979,0.00332326,0.00996979,0.00332326,0.00996979,0.00332326,0.00996979,0.00332326
2,234.475,1.7443,1.6077,1.57417,0.71666,0.56502,0.6757,0.39867,1.05165,13.3145,1.04471,0.0199039,0.00663463,0.0199039,0.00663463,0.0199039,0.00663463,0.0199039,0.00663463
3,335.066,1.809,1.52159,1.64202,0.04194,0.12693,0.01499,0.00542,1.82395,21.0857,1.9498,0.029772,0.009924,0.029772,0.009924,0.029772,0.009924,0.029772,0.009924
4,433.908,1.83212,1.54045,1.66788,0.79613,0.73145,0.8189,0.50433,0.99985,13.2183,1.04353,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,532.825,1.78894,1.4443,1.64227,0.20139,0.33884,0.16735,0.08966,1.33177,21.0198,1.36854,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,632.225,1.75744,1.38449,1.63338,0.60698,0.64241,0.6567,0.40188,1.04352,22.1188,1.05545,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,733.75,1.71545,1.31507,1.618,0.85398,0.77245,0.86678,0.57531,0.87043,2.55523,0.96081,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,835.732,1.69897,1.28109,1.6095,0.85561,0.82558,0.88397,0.58742,0.86373,3.68023,0.9757,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,934.845,1.66175,1.23432,1.58557,0.8199,0.69195,0.8009,0.51577,0.95366,11.9226,1.01422,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1034.14,1.66552,1.21867,1.5921,0.82945,0.77399,0.86728,0.57377,0.87157,7.82711,0.99332,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1133.26,1.64952,1.19723,1.58685,0.83011,0.64292,0.75067,0.47578,0.97736,7.44958,1.04824,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1232.33,1.61427,1.16243,1.55882,0.88959,0.78578,0.87821,0.57131,0.89809,4.89459,0.97854,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1331.48,1.6143,1.13405,1.55577,0.86284,0.7709,0.85435,0.59778,0.82975,1.87784,0.94252,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1430.9,1.59144,1.11336,1.54284,0.85781,0.80031,0.87722,0.59094,0.8544,5.0804,0.96532,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1529.86,1.55272,1.0698,1.51935,0.79464,0.81463,0.86489,0.58386,0.88255,4.54521,0.98173,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
