epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,135.211,1.71178,2.66116,1.54325,0.88194,0.65944,0.77543,0.50803,0.89694,28.3809,0.95144,0.00996979,0.00332326,0.00996979,0.00332326,0.00996979,0.00332326,0.00996979,0.00332326
2,247.615,1.70696,1.61087,1.47917,0.7877,0.5387,0.63961,0.43151,0.92887,54.0326,0.96919,0.0199039,0.00663463,0.0199039,0.00663463,0.0199039,0.00663463,0.0199039,0.00663463
3,356.092,1.74502,1.51492,1.53173,0.65723,0.47523,0.54577,0.30729,1.14372,11.2571,1.15416,0.029772,0.009924,0.029772,0.009924,0.029772,0.009924,0.029772,0.009924
4,463.206,1.79681,1.53338,1.60668,0.79455,0.74768,0.80209,0.52532,0.95877,16.2328,1.01465,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,570.375,1.76857,1.46607,1.61315,0.45703,0.21672,0.19855,0.11095,1.56907,7.8313,1.66854,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,677.382,1.72388,1.40272,1.58654,0.80264,0.7051,0.72709,0.46782,0.99348,2.70062,1.08472,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,784.729,1.69038,1.33908,1.56528,0.94174,0.02503,0.05322,0.03503,2.08341,5.03686,2.2898,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,891.897,1.66731,1.29321,1.54836,0.83357,0.63932,0.71991,0.48042,1.00706,2.77534,1.10508,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,999.243,1.63841,1.26933,1.52304,0.83925,0.79203,0.86716,0.56814,0.88144,3.91408,0.98011,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1106.72,1.61487,1.21684,1.50768,0.64837,0.5937,0.61033,0.34745,1.22735,4.12322,1.25155,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1213.95,1.5945,1.19981,1.49169,0.78266,0.56303,0.6371,0.40233,1.06469,4.54179,1.1163,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1321.15,1.56778,1.15606,1.48648,0.80301,0.77709,0.84852,0.58237,0.85944,1.83729,0.97437,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1428.33,1.53731,1.12517,1.46279,0.81468,0.69814,0.80679,0.53081,0.94545,3.53924,1.02374,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1535.42,1.53271,1.10254,1.44873,0.8833,0.75077,0.86512,0.57324,0.90999,3.17217,0.96274,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1642.29,1.48963,1.0692,1.41503,0.89666,0.76563,0.85104,0.55974,0.92831,1.30605,0.99869,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1749.79,1.46364,1.02723,1.39373,0.83709,0.6548,0.80094,0.54093,0.90008,2.18826,0.96968,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1857.01,1.44191,1.02158,1.3847,0.81227,0.70588,0.79515,0.48583,1.02668,7.93227,1.05446,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1964.53,1.42418,1.01022,1.36599,0.78429,0.75419,0.82728,0.54297,0.95801,7.70248,1.00448,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2071.6,1.4118,0.9877,1.37625,0.86001,0.76161,0.85059,0.54007,1.0227,3.9904,1.03659,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2178.8,1.39734,0.97006,1.35736,0.86198,0.75232,0.86404,0.58435,0.89779,1.82782,0.97925,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
